bricks,hinges,modules,size,proportion2d,proportionNiels,single_neighbour_brick_ratio,single_neighbour_ratio,double_neighbour_brick_and_active_hinge_ratio,maxrel_llimbs,meanrel_llimbs,stdrel_llimbs,nlimbs,joints,joint_brick_ratio,symmetry_incl1,symmetry_incl2,symmetry_incl3,symmetry_incl4,symmetry_excl1,symmetry_excl2,symmetry_excl3,symmetry_excl4,coverage,branching,surface_area,id_string,count
1,1,3,0.1,1.0,0.5773502691896258,1.0,1.0,0.0,0.5,0.5,0.0,2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1875,0,0.9473684210526315,3|35-A-45-C41-56-C40-57-B-,946
1,1,3,0.1,1.0,0.5773502691896258,1.0,1.0,0.0,0.5,0.5,0.0,2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1875,0,0.9473684210526315,3|35-A-45-C41-53-B-54-C40-,934
1,1,3,0.1,0.6,0.5773502691896258,1.0,1.0,0.0,0.5,0.5,0.0,2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0,0.9473684210526315,3|53-A-54-C40-56-C40-57-B-,941
1,1,3,0.1,0.75,0.5,0.0,0.5,1.0,1.0,1.0,0.0,1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0,1.0,3|47-A-56-C40-57-B21-,159
1,1,3,0.1,1.0,0.5773502691896258,1.0,1.0,0.0,0.5,0.5,0.0,2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1875,0,0.9473684210526315,3|35-B-45-C40-53-A-54-C40-,866
1,1,3,0.1,1.0,0.5773502691896258,1.0,1.0,0.0,0.5,0.5,0.0,2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1875,0,0.9473684210526315,3|35-B-45-C40-56-C41-57-A-,931
1,1,3,0.1,0.6,1.0,1.0,0.5,1.0,1.0,1.0,0.0,1,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,0.9473684210526315,3|25-B-35-A01-45-C41-,465
1,1,3,0.1,1.0,0.5773502691896258,1.0,1.0,0.0,0.5,0.5,0.0,2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1875,0,0.9473684210526315,3|56-C40-57-A-65-C40-75-B-,910
1,1,3,0.1,1.0,0.5773502691896258,1.0,1.0,0.0,0.5,0.5,0.0,2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1875,0,0.9473684210526315,3|35-B-45-C40-56-C40-57-A-,941
1,1,3,0.1,0.6,0.5773502691896258,1.0,1.0,0.0,0.5,0.5,0.0,2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0,0.9473684210526315,3|53-A-54-C41-56-C40-57-B-,944
1,1,3,0.1,0.6,0.5773502691896258,1.0,1.0,0.0,0.5,0.5,0.0,2,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0,0.9473684210526315,3|35-B-45-C40-65-C41-75-A-,930
1,1,3,0.1,0.6,1.0,0.0,0.5,1.0,1.0,1.0,0.0,1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,0.9473684210526315,3|52-A-53-B00-54-C40-,158
1,1,3,0.1,0.6,1.0,1.0,0.5,1.0,1.0,1.0,0.0,1,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,0.9473684210526315,3|25-B-35-A00-45-C40-,466
1,1,3,0.1,1.0,0.5773502691896258,1.0,1.0,0.0,0.5,0.5,0.0,2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1875,0,0.9473684210526315,3|56-C40-57-B-65-C41-75-A-,962
1,1,3,0.1,0.6,0.5773502691896258,1.0,1.0,0.0,0.5,0.5,0.0,2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0,0.9473684210526315,3|53-B-54-C40-56-C41-57-A-,945
1,1,3,0.1,0.6,1.0,1.0,0.5,1.0,1.0,1.0,0.0,1,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,0.9473684210526315,3|65-C40-75-A00-85-B-,416
1,1,3,0.1,1.0,0.5773502691896258,1.0,1.0,0.0,0.5,0.5,0.0,2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1875,0,0.9473684210526315,3|35-A-45-C40-53-B-54-C40-,942
1,1,3,0.1,0.6,0.5773502691896258,1.0,1.0,0.0,0.5,0.5,0.0,2,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0,0.9473684210526315,3|35-A-45-C41-65-C40-75-B-,987
1,1,3,0.1,0.6,1.0,0.0,0.5,1.0,1.0,1.0,0.0,1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,0.9473684210526315,3|65-C40-75-B00-85-A-,165
1,1,3,0.1,1.0,0.5773502691896258,1.0,1.0,0.0,0.5,0.5,0.0,2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1875,0,0.9473684210526315,3|53-A-54-C40-65-C40-75-B-,924
1,1,3,0.1,0.6,0.5773502691896258,1.0,1.0,0.0,0.5,0.5,0.0,2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0,0.9473684210526315,3|53-B-54-C40-56-C40-57-A-,910
1,1,3,0.1,0.75,0.5,0.0,0.5,1.0,1.0,1.0,0.0,1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0,1.0,3|65-C40-75-B20-76-A-,150
1,1,3,0.1,0.6,1.0,0.0,0.5,1.0,1.0,1.0,0.0,1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,0.9473684210526315,3|52-A-53-B01-54-C40-,157
1,1,3,0.1,1.0,0.5773502691896258,1.0,1.0,0.0,0.5,0.5,0.0,2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1875,0,0.9473684210526315,3|35-B-45-C40-53-A-54-C41-,980
1,1,3,0.1,1.0,0.5773502691896258,1.0,1.0,0.0,0.5,0.5,0.0,2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1875,0,0.9473684210526315,3|56-C40-57-B-65-C40-75-A-,917
1,1,3,0.1,0.6,1.0,1.0,0.5,1.0,1.0,1.0,0.0,1,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,0.9473684210526315,3|52-B-53-A00-54-C40-,469
1,1,3,0.1,1.0,0.5773502691896258,1.0,1.0,0.0,0.5,0.5,0.0,2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1875,0,0.9473684210526315,3|35-A-45-C40-56-C40-57-B-,968
1,1,3,0.1,1.0,0.5773502691896258,1.0,1.0,0.0,0.5,0.5,0.0,2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1875,0,0.9473684210526315,3|56-C41-57-A-65-C40-75-B-,945
1,1,3,0.1,0.6,1.0,1.0,0.5,1.0,1.0,1.0,0.0,1,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,0.9473684210526315,3|52-B-53-A01-54-C41-,452
1,1,3,0.1,1.0,0.5773502691896258,1.0,1.0,0.0,0.5,0.5,0.0,2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1875,0,0.9473684210526315,3|53-B-54-C40-65-C41-75-A-,925
1,1,3,0.1,0.75,0.5,0.0,0.5,1.0,1.0,1.0,0.0,1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0,1.0,3|65-C40-74-A-75-B10-,160
1,1,3,0.1,0.75,0.5,0.0,0.5,1.0,1.0,1.0,0.0,1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0,1.0,3|34-A-35-B21-45-C40-,156
1,1,3,0.1,0.6,0.5773502691896258,1.0,1.0,0.0,0.5,0.5,0.0,2,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0,0.9473684210526315,3|35-A-45-C40-65-C40-75-B-,936
1,1,3,0.1,1.0,0.5773502691896258,1.0,1.0,0.0,0.5,0.5,0.0,2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1875,0,0.9473684210526315,3|53-A-54-C41-65-C40-75-B-,945
1,1,3,0.1,1.0,0.5773502691896258,1.0,1.0,0.0,0.5,0.5,0.0,2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1875,0,0.9473684210526315,3|53-B-54-C40-65-C40-75-A-,954
1,1,3,0.1,0.75,0.5,0.0,0.5,1.0,1.0,1.0,0.0,1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0,1.0,3|65-C40-75-B21-76-A-,165
1,1,3,0.1,0.6,1.0,1.0,0.5,1.0,1.0,1.0,0.0,1,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,0.9473684210526315,3|56-C41-57-A01-58-B-,472
1,1,3,0.1,0.75,0.5,0.0,0.5,1.0,1.0,1.0,0.0,1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0,1.0,3|35-B11-36-A-45-C40-,183
1,1,3,0.1,0.6,1.0,0.0,0.5,1.0,1.0,1.0,0.0,1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,0.9473684210526315,3|56-C40-57-B00-58-A-,144
1,1,3,0.1,0.6,0.5773502691896258,1.0,1.0,0.0,0.5,0.5,0.0,2,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0,0.9473684210526315,3|35-B-45-C40-65-C40-75-A-,930
1,1,3,0.1,0.75,0.5,0.0,0.5,1.0,1.0,1.0,0.0,1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0,1.0,3|43-A-53-B10-54-C40-,143
1,1,3,0.1,0.75,0.5,0.0,0.5,1.0,1.0,1.0,0.0,1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0,1.0,3|43-A-53-B11-54-C40-,130
1,1,3,0.1,0.6,1.0,1.0,0.5,1.0,1.0,1.0,0.0,1,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,0.9473684210526315,3|65-C41-75-A01-85-B-,463
1,1,3,0.1,0.75,0.5,0.0,0.5,1.0,1.0,1.0,0.0,1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0,1.0,3|56-C40-57-B10-67-A-,155
1,1,3,0.1,0.75,0.5,0.0,0.5,1.0,1.0,1.0,0.0,1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0,1.0,3|53-B21-54-C40-63-A-,170
1,1,3,0.1,0.6,1.0,0.0,0.5,1.0,1.0,1.0,0.0,1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,0.9473684210526315,3|56-C40-57-B01-58-A-,134
1,1,3,0.1,0.75,0.5,0.0,0.5,1.0,1.0,1.0,0.0,1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0,1.0,3|53-B20-54-C40-63-A-,150
1,1,3,0.1,0.75,0.5,0.0,0.5,1.0,1.0,1.0,0.0,1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0,1.0,3|65-C40-74-A-75-B11-,148
1,1,3,0.1,0.6,1.0,0.0,0.5,1.0,1.0,1.0,0.0,1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,0.9473684210526315,3|65-C40-75-B01-85-A-,171
1,1,3,0.1,0.6,1.0,0.0,0.5,1.0,1.0,1.0,0.0,1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,0.9473684210526315,3|25-A-35-B01-45-C40-,161
1,1,3,0.1,0.75,0.5,0.0,0.5,1.0,1.0,1.0,0.0,1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0,1.0,3|35-B10-36-A-45-C40-,141
1,1,3,0.1,0.6,1.0,1.0,0.5,1.0,1.0,1.0,0.0,1,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,0.9473684210526315,3|56-C40-57-A00-58-B-,417
1,1,3,0.1,0.75,0.5,0.0,0.5,1.0,1.0,1.0,0.0,1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0,1.0,3|47-A-56-C40-57-B20-,163
1,1,3,0.1,0.75,0.5,0.0,0.5,1.0,1.0,1.0,0.0,1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0,1.0,3|34-A-35-B20-45-C40-,167
1,1,3,0.1,0.6,1.0,0.0,0.5,1.0,1.0,1.0,0.0,1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,0.9473684210526315,3|25-A-35-B00-45-C40-,164
1,1,3,0.1,0.75,0.5,0.0,0.5,1.0,1.0,1.0,0.0,1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0,1.0,3|56-C40-57-B11-67-A-,162
